year	stem	qidx	primary_unit	theme	module	matched_units	competencies	level	note
1989	shanghai	27	数列	函数	选择性必修	数列;相等关系与不等关系;计数原理	逻辑推理;数学运算	水平2-3	
1989	shanghai	28	相等关系与不等关系	预备知识	必修	相等关系与不等关系;常用逻辑用语;复数;空间向量与立体几何;直线与圆	数学运算;逻辑推理;数学抽象	水平1-2	
1990	shanghai	1	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1990	shanghai	2	三角函数	函数	必修	三角函数;函数概念与性质	数学运算;直观想象;数学抽象	水平1-2	
1990	shanghai	3	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1990	shanghai	4	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1990	shanghai	5	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1990	shanghai	6	三角函数	函数	必修	三角函数;复数	数学运算;直观想象;数学抽象	水平1-2	
1990	shanghai	7	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1990	shanghai	8	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1990	shanghai	9	圆锥曲线	几何与代数	选择性必修	圆锥曲线	直观想象;数学运算;逻辑推理	水平2-3	
